stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
dibenzyl ether,dibenzylether,103-50-4,C14H14O,198,1.044,189.9,1.561,61.5,3.86,1.39,3,297,9.26,3.73,0,0.0447,24.7505,0.834,0,5.6387
dibromomethane,ch2br2,74-95-3,CH2Br2,174,2.495,69.7,1.541,21.88,7.8,1.78,-53,97,0.5,1.64,44.84,1.3282,9.569,0,0,2.2843
dibutyl decandioate,decanedioicaciddibutylester,109-43-3,C18H34O4,314,0.941,334.2,1.443,88.55,4.54,2.64,-10,349,40.83,6.45,0,0.0025,39.3178,3.3541,0,3.5484
dibutyl ether,di-n-butylether,142-96-1,C8H18O,130,0.769,169.4,1.397,40.78,3.1,1.18,-95,142,0.57,4.05,6.21,0,20.0194,0.9438,0,0.2562
dibutyl phthalate,dibutylphthalate,84-74-2,C16H22O4,278,1.043,266.9,1.493,77.56,6.44,2.83,-35,340,22.94,4.62,0,0.2118,30.982,2.6185,0,4.4145
dibutylamine,dibutylamine,111-92-2,C8H19N,129,0.767,168.5,1.415,42.23,3.2,0.98,-62,160,0.6,3.97,4.67,0.2345,20.3942,0.6603,0,0.797
dichloromethane,ch2cl2,75-09-2,CH2Cl2,85,1.326,64.1,1.424,16.35,8.93,1.14,-97,39,0.32,1.23,483.81,1.4042,8.4423,0,0,2.1306
diethanolamine,diethanolamine,111-42-2,C4H11NO2,105,1.097,95.8,1.478,27.13,25.75,2.79,29,270,18.47,-0.7,0.02,1.0711,11.5147,2.3909,0.0172,3.3313
diethyl (2E)-2-butenedioate,"2,4,4-trimethyl-2-pentanethiol",141-59-3,C8H12O4,172,1.052,163.7,1.441,43.22,6.56,2.39,0,214,0.86,3.7,3.39,0.1564,18.5905,0.6306,0,1.3301
diethyl (2Z)-2-butenedioate,diethylmaleate,141-05-9,C8H12O4,172,1.066,161.5,1.44,42.57,8.58,2.55,-11,220,2.76,1.73,0.02,0.6884,18.2156,2.8822,0,4.8923
diethyl butanedioate,ethylsuccinate,123-25-1,C8H14O4,174,1.042,167.2,1.42,42.31,6.64,2.17,-21,218,2.54,1.79,0.02,0.1015,19.34,3.0051,0,5.1538
